City,November 1-5,November 6-10,November 11-15,November 16-20,November 21-25,November 26-30,December 1-5,December 6-10,December 11-15,December 16-20,December 21-25,December 26-30,December 31-January 4,January 5-9,January 10-14,January 15-19,January 20-24,January 25-29,January 30-February 3,February 4-8,February 9-13,February 14-18,February 19-23,February 24-28/29,March 1-5,March 6-10,March 11-15,March 16-20,March 21-25,March 26-31
Albuquerque,1,1,2,1,2,1,1,1,1,1,1,2,1,3,3,2,1,1,2,1,3,3,3,1,3,1,3,1,1,1
Ann Arbor,1,1,2,1,1,3,1,1,1,1,1,1,1,1,1,1,2,3,3,1,1,1,1,2,1,1,1,1,1,3
Atlanta,1,1,1,1,1,3,1,2,1,1,1,1,2,2,3,1,1,1,1,1,1,1,3,1,1,3,1,1,2,1
Baltimore,1,3,2,1,2,3,1,1,1,1,1,1,1,2,1,1,2,1,3,1,1,1,1,2,1,1,1,1,1,1
Bismarck,2,2,1,2,2,1,1,1,2,1,2,2,1,1,1,3,3,3,2,1,1,1,1,2,1,2,1,1,1,1
Boston,1,1,1,1,2,1,1,1,1,1,1,1,1,1,3,1,1,1,3,1,1,1,3,2,1,2,1,1,1,1
Charlotte,1,1,1,1,1,1,3,1,1,1,1,2,1,1,3,1,1,1,1,3,1,1,1,1,3,1,1,1,1,1
Chicago,2,1,2,1,1,3,2,1,1,1,2,1,1,1,1,1,1,3,1,2,2,1,1,1,1,1,1,1,3,3
Cincinnati,1,1,2,1,1,3,2,1,3,1,1,2,1,1,1,1,1,3,3,2,1,2,1,2,1,1,1,1,1,1
Cleveland,2,1,2,1,1,3,1,1,1,1,1,1,1,1,1,1,2,3,3,1,1,1,1,2,1,2,1,1,1,1
Dallas,1,1,1,3,1,1,1,1,3,2,2,1,1,1,1,1,3,3,1,2,1,1,3,2,1,1,3,1,1,1
Denver,1,1,1,3,2,1,2,1,1,2,2,2,3,1,1,1,1,3,2,1,1,2,1,1,3,1,3,1,1,1
Des Moines,2,2,1,1,1,1,2,1,1,1,2,2,1,1,3,1,3,3,1,1,1,1,1,1,1,1,1,1,3,3
El Paso,1,1,1,3,1,1,2,1,1,1,2,1,1,3,1,1,1,1,2,2,3,1,3,1,1,1,3,1,3,1
Helena,1,2,1,1,2,1,2,2,1,1,2,1,1,1,1,3,3,3,1,1,1,2,3,2,1,1,3,1,1,1
Houston,1,1,1,1,1,1,1,2,1,2,2,1,1,1,1,1,3,3,3,2,1,1,3,1,1,2,1,1,3,1
Indianapolis,1,1,2,1,1,3,1,1,1,1,2,1,1,2,1,1,1,3,3,1,1,2,1,1,1,1,1,3,1,1
Joplin,1,1,1,1,1,3,2,1,3,1,2,1,1,1,1,1,3,3,1,1,1,1,1,1,1,3,3,3,1,1
Los Angeles,2,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1
Memphis,1,1,1,1,3,3,2,1,3,2,2,1,1,1,3,1,1,3,3,2,1,2,1,2,1,1,1,1,3,1
Miami,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,1,1,2,3,1,1,1,3,1,2,1,1,1,1,1
Milwaukee,1,1,2,2,1,3,1,2,3,1,2,1,1,1,3,1,1,3,3,1,2,2,1,2,2,1,1,1,3,3
Minneapolis,2,1,2,2,2,1,1,1,1,1,2,1,1,1,1,1,3,3,1,1,1,1,1,2,2,1,2,1,3,3
New Orleans,1,1,1,1,1,1,1,2,1,1,2,1,2,1,3,1,1,1,1,2,1,1,3,1,3,1,1,1,1,1
New York,1,1,2,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,3,1,1,1,1,3,1,2,1,1,1,1
Oklahoma City,1,1,2,3,1,1,1,1,1,1,2,1,1,1,3,1,3,3,2,1,2,1,3,2,1,1,3,3,1,1
Omaha,1,1,2,1,2,1,1,1,1,1,2,2,1,1,1,1,3,3,1,1,1,2,1,1,1,1,1,3,3,1
Philadelphia,1,1,2,1,2,1,1,1,1,1,1,1,1,2,1,1,2,1,3,1,1,2,1,2,1,2,2,1,1,1
Phoenix,1,1,2,1,1,2,2,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1
Pittsburgh,1,1,2,1,1,3,1,1,1,1,1,1,1,1,1,1,1,3,3,2,1,1,1,2,1,1,1,1,1,1
Portland,2,1,3,1,2,1,1,2,1,1,2,1,1,3,1,1,3,3,3,1,1,1,1,1,3,1,1,1,1,1
Salt Lake City,1,1,1,1,1,2,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,1
San Francisco,2,2,1,1,1,2,1,1,3,1,1,1,1,1,2,1,1,3,1,1,2,2,2,1,1,1,1,1,1,1
Seattle,2,1,3,1,1,1,1,1,1,1,1,1,3,3,1,3,3,3,3,2,1,1,1,1,3,1,1,1,1,1
Sioux Falls,2,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,3,3,2,1,2,1,1,2,2,1,1,1,1,1
St. Louis,1,1,1,1,1,3,2,2,1,2,1,1,1,1,3,1,3,3,1,1,1,1,1,2,3,1,1,1,1,1
