City,TMax10_November 1-5,TMax10_November 6-10,TMax10_November 11-15,TMax10_November 16-20,TMax10_November 21-25,TMax10_November 26-30,TMax10_December 1-5,TMax10_December 6-10,TMax10_December 11-15,TMax10_December 16-20,TMax10_December 21-25,TMax10_December 26-30,TMax10_December 31-January 4,TMax10_January 5-9,TMax10_January 10-14,TMax10_January 15-19,TMax10_January 20-24,TMax10_January 25-29,TMax10_January 30-February 3,TMax10_February 4-8,TMax10_February 9-13,TMax10_February 14-18,TMax10_February 19-23,TMax10_February 24-28/29,TMax10_March 1-5,TMax10_March 6-10,TMax10_March 11-15,TMax10_March 16-20,TMax10_March 21-25,TMax10_March 26-31,TMax90_November 1-5,TMax90_November 6-10,TMax90_November 11-15,TMax90_November 16-20,TMax90_November 21-25,TMax90_November 26-30,TMax90_December 1-5,TMax90_December 6-10,TMax90_December 11-15,TMax90_December 16-20,TMax90_December 21-25,TMax90_December 26-30,TMax90_December 31-January 4,TMax90_January 5-9,TMax90_January 10-14,TMax90_January 15-19,TMax90_January 20-24,TMax90_January 25-29,TMax90_January 30-February 3,TMax90_February 4-8,TMax90_February 9-13,TMax90_February 14-18,TMax90_February 19-23,TMax90_February 24-28/29,TMax90_March 1-5,TMax90_March 6-10,TMax90_March 11-15,TMax90_March 16-20,TMax90_March 21-25,TMax90_March 26-31,TMin90_November 1-5,TMin90_November 6-10,TMin90_November 11-15,TMin90_November 16-20,TMin90_November 21-25,TMin90_November 26-30,TMin90_December 1-5,TMin90_December 6-10,TMin90_December 11-15,TMin90_December 16-20,TMin90_December 21-25,TMin90_December 26-30,TMin90_December 31-January 4,TMin90_January 5-9,TMin90_January 10-14,TMin90_January 15-19,TMin90_January 20-24,TMin90_January 25-29,TMin90_January 30-February 3,TMin90_February 4-8,TMin90_February 9-13,TMin90_February 14-18,TMin90_February 19-23,TMin90_February 24-28/29,TMin90_March 1-5,TMin90_March 6-10,TMin90_March 11-15,TMin90_March 16-20,TMin90_March 21-25,TMin90_March 26-31,TMin10_November 1-5,TMin10_November 6-10,TMin10_November 11-15,TMin10_November 16-20,TMin10_November 21-25,TMin10_November 26-30,TMin10_December 1-5,TMin10_December 6-10,TMin10_December 11-15,TMin10_December 16-20,TMin10_December 21-25,TMin10_December 26-30,TMin10_December 31-January 4,TMin10_January 5-9,TMin10_January 10-14,TMin10_January 15-19,TMin10_January 20-24,TMin10_January 25-29,TMin10_January 30-February 3,TMin10_February 4-8,TMin10_February 9-13,TMin10_February 14-18,TMin10_February 19-23,TMin10_February 24-28/29,TMin10_March 1-5,TMin10_March 6-10,TMin10_March 11-15,TMin10_March 16-20,TMin10_March 21-25,TMin10_March 26-31
Albuquerque,1,1,2,1,2,1,1,1,1,1,1,2,1,3,3,2,1,1,2,1,3,3,3,1,3,1,3,1,1,1,1,1,1,1,2,2,1,1,1,2,2,1,1,1,1,1,2,2,2,1,2,1,1,1,1,1,1,1,1,1,3,1,1,1,2,2,1,1,1,1,2,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,3,3,3,1,1,3,3,1,1,3,3,3,1,3,3,1,3,1
Ann Arbor,1,1,2,1,1,3,1,1,1,1,1,1,1,1,1,1,2,3,3,1,1,1,1,2,1,1,1,1,1,3,1,1,1,2,1,3,1,2,3,1,,1,3,3,3,1,2,1,3,1,1,1,3,3,2,1,3,3,1,1,2,1,1,1,1,3,3,2,1,1,1,1,1,1,3,1,1,1,3,1,1,1,1,1,1,3,1,3,1,1,1,1,1,1,1,3,3,1,1,1,1,1,1,1,1,1,1,1,3,1,1,2,1,2,1,2,2,3,1,1
Atlanta,1,1,1,1,1,3,1,2,1,1,1,1,2,2,3,1,1,1,1,1,1,1,3,1,1,3,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,2,1,1,1,1,1,1,1,1,1,3,1,1,3,3,3,1,2,2,1,1,1,1,1,1,2,2,2,1,2,2,3,1,2,1,1,3,1,1,1,1,1,1,1,1,1,1,3,3,1,1,2,2,3,1,1,1,3,3,1,1,3,1,1,1,1,1,1,1
Baltimore,1,3,2,1,2,3,1,1,1,1,1,1,1,2,1,1,2,1,3,1,1,1,1,2,1,1,1,1,1,1,2,1,1,2,1,3,1,1,1,1,3,1,3,3,3,1,2,2,3,3,1,1,1,2,2,1,3,3,1,1,2,1,1,2,3,1,1,1,1,1,3,1,1,3,1,1,1,2,1,1,2,2,1,1,1,3,1,1,1,1,1,1,1,1,1,1,3,1,3,3,1,1,1,1,3,1,1,1,3,1,1,1,1,2,2,2,1,1,2,1
Bismarck,2,2,1,2,2,1,1,1,2,1,2,2,1,1,1,3,3,3,2,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,3,3,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,3,1,1,1,1,2,1,1,1,1,3,3,1,1,1,1,1,1,2,1,2,3,1,3,3
Boston,1,1,1,1,2,1,1,1,1,1,1,1,1,1,3,1,1,1,3,1,1,1,3,2,1,2,1,1,1,1,1,1,1,1,1,1,3,1,1,1,3,1,3,3,3,2,2,1,3,1,1,1,1,1,1,3,3,3,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,3,3,1,2,1,3,1,2,1,3,1,1,1,3,2,1,2,2,1,1,1
Charlotte,1,1,1,1,1,1,3,1,1,1,1,2,1,1,3,1,1,1,1,3,1,1,1,1,3,1,1,1,1,1,1,1,1,2,1,3,1,1,1,1,1,1,1,3,1,1,2,2,3,3,1,1,3,1,2,1,3,1,1,3,1,1,1,2,3,3,1,1,1,2,1,1,1,3,1,2,1,2,3,1,1,2,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,3,3,2,1,2,1,1,1,1,1,3,1,1,1,1,1,2,1,2,3,1,1
Chicago,2,1,2,1,1,3,2,1,1,1,2,1,1,1,1,1,1,3,1,2,2,1,1,1,1,1,1,1,3,3,1,1,2,2,1,3,2,1,1,1,1,1,3,1,1,2,1,3,3,1,1,1,1,1,1,3,3,1,1,1,1,1,1,2,1,1,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,3,1,1,1,1,1,1,3,2,1,1,1,2,3,1,1,1,1,1,3,3,1,1,1,1,1,1,1,1,3,1,3
Cincinnati,1,1,2,1,1,3,2,1,3,1,1,2,1,1,1,1,1,3,3,2,1,2,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,2,1,3,1,1,1,1,1,2,1,1,3,1,1,1,1,2,1,3,3,3,1,2,1,1,1,3,1,1,1,2,2,1,1,1,1,1,1,2,3,1,3,3,1,1,1,1,1,1,1,1,1,3,1,2,1,1,1,1,1,1,3,3,1,1,2,1,1,1,1,1,3,1,1
Cleveland,2,1,2,1,1,3,1,1,1,1,1,1,1,1,1,1,2,3,3,1,1,1,1,2,1,2,1,1,1,1,1,1,1,2,1,3,1,2,1,1,1,1,3,1,3,1,2,1,3,1,1,2,1,1,2,1,3,1,1,1,1,1,1,2,1,3,3,2,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,3,1,1,3,1,1,1,3,1,1,3,1,3,3,1,1,1,3,2,1,2,1,1,1,1
